Team Number,Player Name,Position,Height,Weight,Team
88,Neemias Queta,C,7-0,245,Sacramento Kings
5,Immanuel Quickley,PG,6-3,188,New York Knicks
25,Lester Quinones,SG,6-4,208,Golden State Warriors
30,Julius Randle,PF,6-9,250,New York Knicks
15,Austin Reaves,PG,6-5,206,Los Angeles Lakers
5,Cam Reddish,G,6-8,218,Los Angeles Lakers
44,"Paul Reed, Jr.",F,6-8,218,Philadelphia Sixers
11,Naz Reid,C,6-9,250,Minnesota Timberwolves
42,Jared Rhoden,SG,6-6,210,Detroit Pistons
11,Sir'Jabari Rice,G,6-4,170,San Antonio Spurs
14,Nick Richards,C,7-0,245,Charlotte Hornets
2,Josh Richardson,G,6-5,200,Miami Heat
55,Duncan Robinson,F,6-8,210,Miami Heat
23,Mitchell Robinson,C,7-1,240,New York Knicks
25,Orlando Robinson,PF,6-11,245,Miami Heat
50,Jeremiah Robinson-Earl,PF,6-9,240,Oklahoma City Thunder
18,Isaiah Roby,SF,6-8,230,New York Knicks
21,David Roddy,F,6-5,255,Memphis Grizzlies
9,Ryan Rollins,G,6-4,180,Washington Wizards
23,Derrick Rose,PG,6-3,200,Memphis Grizzlies
3,Terry Rozier,G,6-1,190,Charlotte Hornets
13,Ricky Rubio,G,6-3,190,Cleveland Cavaliers
72,Rayan Rupert,G,6-7,195,Portland Trail Blazers
1,D'Angelo Russell,SG,6-4,193,Los Angeles Lakers
10,Domantas Sabonis,PF,6-11,240,Sacramento Kings
91,Luka Samanic,PF,6-10,227,Utah Jazz
,Jermaine Samuels,SF,6-7,230,Houston Rockets
,Adama Sanogo,PF,6-9,258,Chicago Bulls
9,Dario Saric,SF,6-10,250,Golden State Warriors
25,Marcus Sasser,G,6-1,190,Detroit Pistons
25,Admiral Schofield,SF,6-5,240,Orlando Magic
17,Dennis Schroder,PG,6-3,172,Toronto Raptors
0,Jay Scrubb,SG,6-5,220,Boston Celtics
0,Dereon Seabron,SG,6-5,183,New Orleans Pelicans
28,Alperen Sengun,C,6-10,235,Houston Rockets
8,Brice Sensabaugh,F,6-6,235,Utah Jazz
2,Collin Sexton,PG,6-1,192,Utah Jazz
20,Landry Shamet,PG,6-4,190,Washington Wizards
20,Day'Ron Sharpe,PF,6-9,255,Brooklyn Nets
17,Shaedon Sharpe,F,6-5,200,Portland Trail Blazers
26,Ben Sheppard,G,6-6,190,Indiana Pacers
43,Pascal Siakam,F,6-8,240,Toronto Raptors
10,Ben Simmons,PF,6-10,240,Brooklyn Nets
23,Kobi Simmons,PG,6-5,180,Charlotte Hornets
1,Anfernee Simons,SG,6-3,195,Portland Trail Blazers
45,Jericho Sims,C,6-10,240,New York Knicks
,Dmytro Skapintsev,C,7-1,215,New York Knicks
18,Jalen Slawson,F,6-7,218,Sacramento Kings
15,Javonte Smart,G,6-4,205,Philadelphia Sixers
36,Marcus Smart,PG,6-3,220,Memphis Grizzlies
4,Dennis Smith,PG,6-2,205,Brooklyn Nets
9,Dru Smith,SG,6-3,200,Miami Heat
25,Jalen Smith,C,6-10,215,Indiana Pacers
10,"Jabari Smith, Jr.",F,6-11,213,Houston Rockets
00,"Nick Smith, Jr.",G,6-5,185,Charlotte Hornets
,Terquavion Smith,G,6-4,165,Philadelphia Sixers
10,Jeremy Sochan,SG,6-8,225,San Antonio Spurs
11,Jaden Springer,SG,6-4,205,Philadelphia Sixers
28,Isaiah Stewart II,C,6-9,250,Detroit Pistons
3,Julian Strawther,GF,6-7,205,Denver Nuggets
1,Max Strus,G,6-5,220,Cleveland Cavaliers
4,Jalen Suggs,SG,6-5,210,Orlando Magic
20,Cole Swider,F,6-9,220,Miami Heat
8,Jae'sean Tate,F,6-4,230,Houston Rockets
0,Jayson Tatum,SF,6-8,210,Boston Celtics
32,Terry Taylor,GF,6-5,230,Chicago Bulls
41,Garrett Temple,G,6-5,195,Toronto Raptors
25,Dalen Terry,PG,6-7,200,Chicago Bulls
27,Daniel Theis,C,6-8,245,Indiana Pacers
24,Cam Thomas,PG,6-3,208,Brooklyn Nets
1,Amen Thompson,G,6-7,215,Houston Rockets
9,Ausar Thompson,G,6-7,205,Detroit Pistons
11,Klay Thompson,G,6-6,210,Golden State Warriors
21,J.T. Thor,PF,6-9,205,Charlotte Hornets
4,Matisse Thybulle,SF,6-5,205,Portland Trail Blazers
2,"Xavier Tillman, Sr.",PF,6-8,245,Memphis Grizzlies
14,Isaiah Todd,PF,6-10,210,Memphis Grizzlies
,Jacob Toppin,SF,6-9,205,New York Knicks
1,Obi Toppin,F,6-9,193,Indiana Pacers
32,Karl-Anthony Towns,C,7-0,250,Minnesota Timberwolves
33,"Gary Trent, Jr.",SG,6-5,205,Toronto Raptors
44,Oscar Tshiebwe,F,6-9,260,Indiana Pacers
,Azuolas Tubelis,F,6-11,245,Philadelphia Sixers
17,P.J. Tucker,SF,6-6,245,Philadelphia Sixers
